Provider,Tier,Service,SKU/Instance,Quantity,Unit Price (USD/month),Monthly Cost (USD),Notes
GCP,Basic,Static frontend,Cloud Storage + CDN,1,5,5,"Static hosting + small CDN usage"
GCP,Basic,API proxy,Cloud Run (small),1,15,15,"Low traffic serverless proxy"
GCP,Basic,Ingestion workers,Cloud Run (occasional),1,10,10,"Periodic ingestion tasks"
GCP,Basic,Postgres,Cloud SQL (single small instance, 20GB),1,40,40,"Dev DB with backups"
GCP,Basic,Qdrant,Compute Engine e2-medium (2 vCPU, 4GB),1,25,25,"Small vector DB VM"
GCP,Basic,Object storage,Cloud Storage (20GB),1,5,5,"Data + backups"
GCP,Basic,Monitoring & logs,Stackdriver (low),1,10,10,"Basic observability"
GCP,Basic,Egress bandwidth,Network egress (low),1,10,10,"Low egress usage"
GCP,Basic,Total,,,,,120,"Estimated total (GCP Basic)"
GCP,Small,Static frontend,Cloud Storage + CDN,1,15,15,"Production static + CDN"
GCP,Small,API proxy,Cloud Run (medium),1,100,100,"Autoscaled proxy"
GCP,Small,Ingestion workers,Cloud Run (moderate),1,100,100,"Continuous ingestion"
GCP,Small,Postgres,Cloud SQL (std-1 / 100GB),1,250,250,"Managed DB w/ moderate storage & CPU"
GCP,Small,Qdrant,Memory-optimized VM (16-32GB RAM),1,300,300,"Single larger VM for vectors"
GCP,Small,Object storage,Cloud Storage (100GB),1,20,20,"Data + backups"
GCP,Small,Monitoring & logs,Stackdriver (moderate),1,50,50,"Moderate observability & logs"
GCP,Small,Egress bandwidth,Network egress (moderate),1,40,40,"Moderate egress"
GCP,Small,Total,,,,,875,"Estimated total (GCP Small)"
Azure,Basic,Static frontend,Azure Static Web Apps,1,5,5,"Static hosting"
Azure,Basic,API proxy,App Service (B1) / ACI small,1,25,25,"Low traffic proxy"
Azure,Basic,Ingestion workers,Azure Functions / ACI,1,10,10,"Occasional ingestion"
Azure,Basic,Postgres,Azure Database for PostgreSQL Basic (small),1,50,50,"Dev DB"
Azure,Basic,Qdrant,VM B2ms (2 vCPU, 8GB),1,35,35,"Small vector DB VM"
Azure,Basic,Blob storage,Storage (20GB),1,5,5,"Storage + backups"
Azure,Basic,Monitoring & logs,Azure Monitor (low),1,10,10,"Basic monitoring"
Azure,Basic,Egress bandwidth,Network egress (low),1,10,10,"Low egress"
Azure,Basic,Total,,,,,150,"Estimated total (Azure Basic)"
Azure,Small,Static frontend,Static Web Apps + CDN,1,15,15,"Prod static + CDN"
Azure,Small,API proxy,App Service (S1) or ACI/AKS small,1,200,200,"Autoscaled proxy / small cluster"
Azure,Small,Ingestion workers,Azure Functions / ACI moderate,1,150,150,"Continuous ingestion"
Azure,Small,Postgres,Azure DB for PostgreSQL General Purpose (100GB),1,300,300,"Managed DB w/ moderate storage & CPU"
Azure,Small,Qdrant,VM D4s_v3 (4 vCPU, 16GB) or small AKS nodes,1,400,400,"Larger VM for vectors"
Azure,Small,Blob storage,Storage (100GB),1,30,30,"Data + backups"
Azure,Small,Monitoring & logs,Azure Monitor (moderate),1,100,100,"Observability & logs"
Azure,Small,Egress bandwidth,Network egress (moderate),1,50,50,"Moderate egress"
Azure,Small,Total,,,,,1245,"Estimated total (Azure Small)"
Notes,,"Model API cost (example)","tokens/month × (price_per_1k_tokens/1000)",,,,
Example,,"Assumption: 1,000 DAU × 10 msgs × 1k tokens = 10M tokens/day => 300M tokens/month",,300000000,0.03 per 1k tokens,9000,"Example model cost at $0.03 per 1k tokens (adjust per provider)"
Assumptions,,"Token estimate approx: 4 chars ≈ 1 token",,,"Adjust token counts, DAU, messages, embedding size, retention"
How-to-adjust,,"To compute precise costs: provide DAU, messages/user/day, avg tokens/turn, total vectors, retention (GB)",,,"I will recalc per-service sizes and provide updated spreadsheet"
